component,m,sigma,epsilon,netac,Tc,Pc,Zc,c1,c2,Reference
Toluene,3.026,3.785,270.979,0.128,591.750,4.126,0.265,0.051260,0.387180,(Shi and Li, 2023)
Ethylbenzene,3.353,3.862,270.661,0.126,617.120,3.616,0.263,0.040910,0.303630,(Shi, 2024)
m-Xylene,3.495,3.835,266.007,0.126,616.850,3.540,0.279,-0.002620,0.049830,(Shi, 2024)
o-Xylene,3.386,3.835,275.311,0.126,630.430,3.746,0.265,0.045940,0.317770,(Shi, 2024)
p-Xylene,3.470,3.844,266.461,0.126,616.190,3.524,0.260,0.050800,0.334680,(Shi, 2024)
Naphthalene,3.306,3.988,330.132,0.126,748.330,4.039,0.265,0.053720,0.312570,(Shi, 2024)
Biphenyl,4.103,3.950,313.153,0.123,772.200,3.478,0.270,0.002920,0.142640,(Shi, 2024)
Anthracene,4.767,4.084,335.032,0.121,876.000,2.130,0.160,0.045980,0.274320,(Shi, 2024)
Styrene,3.268,3.862,281.925,0.125,635.200,3.880,0.262,-0.074664,0.000007,(Shi, 2024)
alpha-Methylstyrene,3.471,3.987,282.815,0.124,660.000,3.946,0.291,0.065118,0.475221,(Shi, 2024)
Cumene,3.505,3.985,271.766,0.129,631.200,3.190,0.257,0.020232,0.185515,(Shi, 2024)
Propylbenzene,3.639,3.949,270.843,0.125,638.290,3.201,0.266,0.033628,0.232734,(Shi, 2024)
1,2,3-Trimethylbenzene,3.814,3.834,276.786,0.122,664.700,3.450,0.264,0.058055,0.459959,(Shi, 2024)
1,2,4-Trimethylbenzene,3.911,3.853,267.782,0.122,649.120,3.260,0.264,0.053046,0.366781,(Shi, 2024)
1,2,3,4-Tetrahydronaphthalene,3.567,3.964,307.929,0.119,720.300,3.520,0.253,0.072440,0.754268,(Shi, 2024)
Butylbenzene,4.033,3.975,269.303,0.123,660.480,2.887,0.261,0.044287,0.297396,(Shi, 2024)
Phenanthrene,4.646,4.119,336.496,0.121,866.000,2.460,0.188,0.036688,0.239656,(Shi, 2024)
4-Ethyl-m-xylene,4.191,3.931,267.271,0.121,663.000,2.840,0.251,0.059088,0.424125,(Shi, 2024)
4-Ethyl-o-xylene,4.170,3.942,268.569,0.123,665.000,2.880,0.255,0.052467,0.347646,(Shi, 2024)
5-Ethyl-m-xylene,4.215,3.963,262.701,0.120,655.000,2.820,0.255,0.063741,0.481540,(Shi, 2024)
3-Ethyl-o-xylene,3.779,4.119,284.264,0.131,676.000,2.930,0.250,0.029895,0.159645,(Shi, 2024)
2-Ethyl-p-xylene,4.171,3.934,266.947,0.121,661.000,2.840,0.251,0.057719,0.409540,(Shi, 2024)
2-Ethyl-m-xylene,4.132,3.902,271.100,0.123,671.000,2.910,0.250,0.041002,0.278264,(Shi, 2024)
Butanone,3.474,3.475,231.486,0.122,536.450,4.172,0.256,0.049520,0.309760,(Shi, 2024)
3-Pentanone,3.643,3.590,237.909,0.125,561.420,3.730,0.269,-0.016930,0.045560,(Shi, 2024)
2-Pentanone,3.631,3.609,238.285,0.116,561.040,3.710,0.259,0.075670,0.708620,(Shi, 2024)
3-Methyl-2-butanone,3.454,3.626,239.779,0.121,553.100,3.850,0.271,0.054520,0.409060,(Shi, 2024)
Acetone,3.342,3.323,223.197,0.124,508.100,4.690,0.236,0.067398,0.477443,(Shi, 2024)
Quinone,4.839,2.942,260.770,0.124,702.000,5.200,0.246,0.222886,0.000019,(Shi, 2024)
2-Hexanone,3.958,3.689,241.311,0.124,586.740,3.340,0.258,0.051821,0.346363,(Shi, 2024)
3-Hexanone,3.922,3.680,240.183,0.124,583.080,3.323,0.259,0.042173,0.281612,(Shi, 2024)
3-Heptanone,4.140,3.812,244.911,0.123,606.600,3.037,0.260,0.054010,0.362412,(Shi, 2024)
2-Heptanone,4.231,3.782,244.865,0.121,611.420,2.976,0.256,0.058939,0.395715,(Shi, 2024)
2-Octanone,4.519,3.865,247.423,0.121,632.700,2.700,0.255,0.050471,0.341757,(Shi, 2024)
4-Heptanone,4.175,3.790,242.291,0.122,602.000,2.981,0.259,0.051051,0.343286,(Shi, 2024)
5-Nonanone,4.994,3.894,241.733,0.119,641.400,2.330,0.245,0.049944,0.318252,(Shi, 2024)
3-Methyl-2-pentanone,3.990,3.635,234.593,0.122,580.600,3.410,0.262,0.033760,0.287737,(Shi, 2024)
Oxygen,1.149,3.180,113.460,0.135,154.600,5.046,0.294,-0.949160,0.293520,(Shi, 2024)
Fluorine,1.395,2.868,95.980,0.140,144.400,5.240,0.280,-0.874270,0.124570,(Shi, 2024)
Argon,0.953,3.441,120.823,0.145,150.690,4.863,0.290,-0.864180,1.468730,(Shi, 2024)
Chlorine,1.516,3.474,266.255,0.128,416.870,7.980,0.300,0.211930,4.911580,(Shi, 2024)
Hydrogen sulfide,1.709,3.056,224.326,0.134,373.100,8.999,0.285,0.109660,1.780490,(Shi, 2024)
Carbon disulfide,1.834,3.543,319.894,0.126,552.200,8.430,0.309,0.055020,3.170760,(Shi, 2024)
Carbon monoxide,1.379,3.194,89.009,0.135,132.860,3.494,0.292,-1.040110,0.193910,(Shi and Li, 2023)
Nitrogen,1.270,3.266,88.136,0.136,126.192,3.396,0.289,-0.945380,0.545410,(Shi and Li, 2023)
Carbon dioxide,2.668,2.612,147.234,0.130,304.130,7.377,0.275,0.079860,0.514610,(Shi and Li, 2023)
Sulfur dioxide,2.971,2.762,198.787,0.128,430.640,7.887,0.273,0.083090,0.396230,(Shi and Li, 2023)
Carbonyl,sulfide,1.730,3.426,226.049,0.133,378.770,6.370,0.273,0.115590,1.596030,(Shi and Li, 2023)
Hydrogen,chloride,1.992,2.838,180.549,0.124,324.667,8.260,0.264,0.118759,1.278517,(Shi, 2024)
Nitrous,oxide,2.063,2.889,169.221,0.132,309.521,7.245,0.274,0.099463,0.820140,(Shi, 2024)
Ozone,2.607,2.748,127.707,0.119,261.090,5.680,0.254,0.161685,1.639488,(Shi, 2024)
Diethyl ether,3.143,3.597,210.302,0.128,466.750,3.649,0.263,0.051370,0.401550,(Shi, 2024)
Dipropyl ether,3.832,3.710,220.622,0.119,530.800,2.920,0.264,0.055180,0.564670,(Shi, 2024)
Methylisobutyl ether,3.352,3.667,218.011,0.122,505.000,3.300,0.268,0.027683,0.364595,(Shi, 2024)
Ethyl isopropyl,ether,3.335,3.654,214.952,0.122,488.400,3.240,0.272,0.059305,0.669674,(Shi, 2024)
Diisopropyl ether,3.594,3.788,213.216,0.122,500.170,2.830,0.270,0.057106,0.565057,(Shi, 2024)
Dinbutyl ether,4.461,3.873,229.477,0.113,584.060,2.350,0.252,0.060659,0.653601,(Shi, 2024)
Methyl ethanoate,3.536,3.240,217.413,0.125,506.510,4.740,0.258,0.062690,0.386500,(Shi, 2024)
Ethyl ethanoate,3.813,3.406,217.997,0.123,523.260,3.887,0.258,0.051150,0.341480,(Shi, 2024)
Vinyl acetate,3.694,3.415,218.966,0.125,519.190,4.174,0.259,0.056251,0.371945,(Shi, 2024)
Methyl propionate,3.657,3.440,224.702,0.122,530.610,4.010,0.262,0.048837,0.359751,(Shi, 2024)
Ethyl propionate,4.035,3.547,222.581,0.123,546.700,3.369,0.255,0.053452,0.342499,(Shi, 2024)
Propyl acetate,3.992,3.570,225.022,0.122,549.691,3.379,0.257,0.051756,0.346891,(Shi, 2024)
Butyl acetate,4.395,3.592,227.280,0.117,575.440,3.160,0.266,0.061051,0.540017,(Shi, 2024)
Methyl benzoate,4.244,3.685,277.244,0.132,702.000,3.843,0.264,-0.037089,-0.000003,(Shi, 2024)
2-Propenal,3.446,3.214,219.447,0.131,528.000,6.400,0.275,0.038770,0.267830,(Shi, 2024)
Methanethiol,2.195,3.253,249.283,0.121,469.870,7.230,0.291,0.073400,0.830010,(Shi, 2024)
Ethanethiol,2.421,3.517,252.718,0.131,498.740,5.510,0.275,0.045330,0.364010,(Shi, 2024)
2-Thiapropane,2.471,3.493,252.275,0.129,502.400,5.390,0.262,0.041860,0.411580,(Shi, 2024)
2-Propanethiol,2.621,3.633,252.321,0.125,512.600,4.520,0.279,0.107280,1.924390,(Shi, 2024)
1-Propanethiol,2.760,3.643,255.862,0.115,536.600,4.590,0.295,0.075830,0.773700,(Shi, 2024)
3-Thiapentane,3.213,3.680,248.742,0.124,557.480,4.030,0.284,0.038790,0.300930,(Shi, 2024)
2,3-Dithiabutane,2.561,3.728,303.385,0.124,607.800,5.070,0.266,0.104570,1.475740,(Shi, 2024)
Butyl mercaptan,3.067,3.768,259.576,0.129,570.100,3.997,0.274,0.024478,0.168589,(Shi, 2024)
sec-Butyl mercaptan,2.906,3.777,258.219,0.125,549.400,3.803,0.264,0.087554,0.946066,(Shi, 2024)
Pentyl mercaptan,3.453,3.835,259.137,0.121,599.700,3.530,0.264,0.064396,0.597255,(Shi, 2024)
Benzenethiol,3.000,3.813,316.691,0.127,694.000,5.140,0.284,0.055686,0.433725,(Shi, 2024)
Cyclohexyl mercaptan,3.011,3.991,304.744,0.120,672.000,4.278,0.289,0.065189,0.758161,(Shi, 2024)
Hexyl mercaptan,3.827,3.894,259.178,0.118,625.000,3.119,0.261,0.070373,0.656760,(Shi, 2024)
Benzyl mercaptan,3.389,3.895,313.509,0.123,703.000,3.682,0.238,0.089901,0.777510,(Shi, 2024)
Heptyl mercaptan,4.260,3.917,257.680,0.115,647.500,2.777,0.255,0.071114,0.687022,(Shi, 2024)
Octyl mercaptan,4.478,4.010,261.810,0.113,666.800,2.470,0.248,0.079361,0.794888,(Shi, 2024)
Nonyl mercaptan,5.094,3.949,255.496,0.109,685.000,2.289,0.249,0.053569,0.589905,(Shi, 2024)
Decyl mercaptan,5.597,3.934,253.226,0.117,699.000,2.300,0.245,0.048929,0.317078,(Shi, 2024)
Fluoromethane,2.474,2.935,159.080,0.137,317.280,5.906,0.241,0.051030,0.253220,(Shi, 2024)
Chloromethane,2.140,3.235,223.511,0.136,416.236,6.714,0.265,0.028990,0.227650,(Shi, 2024)
Difluoromethane,3.112,2.814,158.941,0.128,351.255,5.783,0.243,0.062870,0.338380,(Shi, 2024)
1,1-Difluoroethane,3.096,3.159,175.251,0.127,386.410,4.517,0.252,0.060820,0.381030,(Shi, 2024)
Trifluoromethane,3.011,2.868,137.230,0.127,299.293,4.832,0.258,0.106390,0.541140,(Shi, 2024)
1,1,1-Trifluoroethane,2.990,3.277,159.225,0.128,345.857,3.762,0.255,0.069820,0.413600,(Shi, 2024)
Dichloromethane,2.504,3.384,254.168,0.132,507.960,6.360,0.275,0.118680,0.601080,(Shi, 2024)
Tetrafluoromethane,2.354,3.105,116.720,0.133,227.396,3.762,0.279,-0.344280,0.000120,(Shi, 2024)
Bromomethane,2.159,3.304,248.113,0.138,454.000,5.620,0.217,0.821090,3.608900,(Shi, 2024)
1,1,1,2-Tetrafluoroethane,3.501,3.098,161.233,0.125,374.210,4.059,0.260,0.085380,0.464020,(Shi, 2024)
Trichloromethane,2.684,3.479,259.011,0.129,536.100,5.600,0.302,0.045930,0.000030,(Shi, 2024)
Dichlorodifluoromethane,2.359,3.580,197.271,0.133,385.120,4.136,0.277,-0.142600,0.152830,(Shi, 2024)
1,1,2-Trichloroethane,2.972,3.728,277.847,0.125,609.000,5.341,0.305,0.050816,0.360688,(Shi, 2024)
1,2-Dibromoethane,2.567,3.767,320.370,0.125,649.000,5.610,0.284,1.234484,4.625134,(Shi, 2024)
1,1-Dichloroethane,2.777,3.497,248.710,0.130,523.360,5.034,0.276,0.220710,1.439670,(Shi, 2024)
1,2-Dichloroethane,3.186,3.344,251.612,0.121,561.420,5.490,0.273,0.067100,0.442700,(Shi, 2024)
Chloroethane,2.427,3.467,232.784,0.127,460.350,5.260,0.272,0.068700,0.486500,(Shi, 2024)
1,1-Dichloropropane,2.924,3.728,260.309,0.128,559.000,4.290,0.269,0.036700,0.397200,(Shi, 2024)
1,2-Dichloropropane,2.951,3.742,264.825,0.130,577.300,4.496,0.269,0.037700,0.372200,(Shi, 2024)
1-Chloropropane,2.631,3.681,245.156,0.119,503.260,4.560,0.289,0.069638,0.630368,(Shi, 2024)
2-Chloropropane,2.504,3.678,243.726,0.133,482.400,4.248,0.256,0.049812,0.481401,(Shi, 2024)
m-Dichlorobenzene,3.126,3.944,308.879,0.122,685.700,4.260,0.273,0.082041,0.592352,(Shi, 2024)
p-Dichlorobenzene,3.171,3.925,307.410,0.123,669.200,3.543,0.231,0.107761,0.921315,(Shi, 2024)
Bromobenzene,2.906,3.883,312.362,0.128,670.900,5.060,0.294,0.080790,0.482545,(Shi, 2024)
Chlorobenzene,2.900,3.811,294.989,0.128,632.570,4.510,0.264,0.045339,0.346097,(Shi, 2024)
Furan,2.527,3.442,243.275,0.130,490.210,5.360,0.287,-0.012850,0.000180,(Shi, 2024)
Tetrahydrofuran,2.710,3.537,259.662,0.130,540.000,5.310,0.264,0.028200,0.363610,(Shi, 2024)
Thiophene,2.492,3.616,289.410,0.126,579.430,5.730,0.270,0.077290,0.901680,(Shi, 2024)
1,4-Dioxane,3.129,3.451,265.016,0.121,587.150,5.190,0.267,0.096560,1.039930,(Shi, 2024)
Tetrahydrothiophene,2.512,3.835,314.532,0.122,632.040,5.500,0.278,0.096180,1.145660,(Shi, 2024)
3-Methylthiophene,2.821,3.706,289.470,0.123,610.000,4.840,0.276,0.087669,1.041972,(Shi, 2024)
R32,3.020,2.845,160.998,0.128,351.255,5.782,0.243,0.063250,0.345540,(Shi and Li, 2023)
R23,2.956,2.885,138.460,0.128,299.293,4.832,0.258,0.103520,0.500670,(Shi and Li, 2023)
R143a,2.973,3.285,159.602,0.128,345.857,3.761,0.255,0.070310,0.417480
R125,3.378,3.157,148.305,0.126,339.173,3.618,0.268,0.011390,0.324500,(Shi and Li, 2023)
R236fa,3.992,3.259,162.927,0.123,398.070,3.200,0.267,0.017290,0.315070,(Shi, 2024)
R236ea,3.891,3.257,170.480,0.124,412.440,3.420,0.268,-0.033590,0.224330,(Shi, 2024)
R134a,3.536,3.086,160.601,0.125,374.210,4.059,0.260,0.078920,0.433700,(Shi and Li, 2023)
R152a,3.056,3.175,176.207,0.128,386.411,4.517,0.252,0.059870,0.369460,(Shi, 2024)
R161,2.653,3.190,182.174,0.129,375.300,5.090,0.260,0.015956,0.224209,(Shi, 2024)
R22,2.675,3.172,178.577,0.130,369.295,4.990,0.268,0.103890,0.602490,(Shi and Li, 2023)
R21,2.599,3.383,221.204,0.130,451.480,5.181,0.270,0.220710,1.439670,(Shi and Li, 2023)
R142b,2.774,3.475,195.165,0.129,410.260,4.055,0.268,0.067100,0.442700,(Shi and Li, 2023)
R141b,2.712,3.639,229.495,0.129,477.500,4.212,0.271,0.068700,0.486500,(Shi and Li, 2023)
